forecast_date,location,actual_price,predicted_price,forecast_horizon,model,error
2026-01-05,Andhra Pradesh|East Godavari|East Godavari Mandi,3592.0,3396.88,7D,LightGBM,-195.12
2026-01-05,Andhra Pradesh|East Godavari|East Godavari Mandi,3592.0,3640.98,7D,ARIMA Baseline,48.98
2026-01-12,Andhra Pradesh|East Godavari|East Godavari Mandi,3595.5,3396.67,7D,LightGBM,-198.83
2026-01-12,Andhra Pradesh|East Godavari|East Godavari Mandi,3595.5,3640.98,7D,ARIMA Baseline,45.48
2026-01-19,Andhra Pradesh|East Godavari|East Godavari Mandi,3599.0,3396.98,7D,LightGBM,-202.02
2026-01-19,Andhra Pradesh|East Godavari|East Godavari Mandi,3599.0,3640.98,7D,ARIMA Baseline,41.98
2026-01-26,Andhra Pradesh|East Godavari|East Godavari Mandi,3602.5,3396.83,7D,LightGBM,-205.67
2026-01-26,Andhra Pradesh|East Godavari|East Godavari Mandi,3602.5,3640.98,7D,ARIMA Baseline,38.48
2026-02-02,Andhra Pradesh|East Godavari|East Godavari Mandi,3606.0,3398.1,7D,LightGBM,-207.9
2026-02-02,Andhra Pradesh|East Godavari|East Godavari Mandi,3606.0,3640.98,7D,ARIMA Baseline,34.98
2026-02-09,Andhra Pradesh|East Godavari|East Godavari Mandi,3609.5,3396.59,7D,LightGBM,-212.91
2026-02-09,Andhra Pradesh|East Godavari|East Godavari Mandi,3609.5,3640.98,7D,ARIMA Baseline,31.48
2026-02-16,Andhra Pradesh|East Godavari|East Godavari Mandi,3613.0,3397.09,7D,LightGBM,-215.91
2026-02-16,Andhra Pradesh|East Godavari|East Godavari Mandi,3613.0,3640.98,7D,ARIMA Baseline,27.98
2026-02-23,Andhra Pradesh|East Godavari|East Godavari Mandi,3616.5,3396.96,7D,LightGBM,-219.54
2026-02-23,Andhra Pradesh|East Godavari|East Godavari Mandi,3616.5,3640.98,7D,ARIMA Baseline,24.48
2026-03-02,Andhra Pradesh|East Godavari|East Godavari Mandi,3620.0,3397.01,7D,LightGBM,-222.99
2026-03-02,Andhra Pradesh|East Godavari|East Godavari Mandi,3620.0,3640.98,7D,ARIMA Baseline,20.98
2026-03-09,Andhra Pradesh|East Godavari|East Godavari Mandi,3623.5,3397.24,7D,LightGBM,-226.26
2026-03-09,Andhra Pradesh|East Godavari|East Godavari Mandi,3623.5,3640.98,7D,ARIMA Baseline,17.48
2026-03-16,Andhra Pradesh|East Godavari|East Godavari Mandi,3627.0,3397.03,7D,LightGBM,-229.97
2026-03-16,Andhra Pradesh|East Godavari|East Godavari Mandi,3627.0,3640.98,7D,ARIMA Baseline,13.98
2026-03-23,Andhra Pradesh|East Godavari|East Godavari Mandi,3630.5,3397.06,7D,LightGBM,-233.44
2026-03-23,Andhra Pradesh|East Godavari|East Godavari Mandi,3630.5,3640.98,7D,ARIMA Baseline,10.48
2026-03-30,Andhra Pradesh|East Godavari|East Godavari Mandi,3634.0,3396.93,7D,LightGBM,-237.07
2026-03-30,Andhra Pradesh|East Godavari|East Godavari Mandi,3634.0,3640.98,7D,ARIMA Baseline,6.98
2026-04-06,Andhra Pradesh|East Godavari|East Godavari Mandi,3637.5,3397.14,7D,LightGBM,-240.36
2026-04-06,Andhra Pradesh|East Godavari|East Godavari Mandi,3637.5,3640.98,7D,ARIMA Baseline,3.48
2026-04-13,Andhra Pradesh|East Godavari|East Godavari Mandi,3641.0,3397.01,7D,LightGBM,-243.99
2026-04-13,Andhra Pradesh|East Godavari|East Godavari Mandi,3641.0,3640.98,7D,ARIMA Baseline,-0.02
2026-04-20,Andhra Pradesh|East Godavari|East Godavari Mandi,3644.5,3397.51,7D,LightGBM,-246.99
2026-04-20,Andhra Pradesh|East Godavari|East Godavari Mandi,3644.5,3640.98,7D,ARIMA Baseline,-3.52
2026-04-27,Andhra Pradesh|East Godavari|East Godavari Mandi,3648.0,3397.15,7D,LightGBM,-250.85
2026-04-27,Andhra Pradesh|East Godavari|East Godavari Mandi,3648.0,3640.98,7D,ARIMA Baseline,-7.02
2026-05-04,Andhra Pradesh|East Godavari|East Godavari Mandi,3651.5,3397.47,7D,LightGBM,-254.03
2026-05-04,Andhra Pradesh|East Godavari|East Godavari Mandi,3651.5,3640.98,7D,ARIMA Baseline,-10.52
2026-05-11,Andhra Pradesh|East Godavari|East Godavari Mandi,3655.0,3397.23,7D,LightGBM,-257.77
2026-05-11,Andhra Pradesh|East Godavari|East Godavari Mandi,3655.0,3640.98,7D,ARIMA Baseline,-14.02
2026-05-18,Andhra Pradesh|East Godavari|East Godavari Mandi,3658.5,3397.61,7D,LightGBM,-260.89
2026-05-18,Andhra Pradesh|East Godavari|East Godavari Mandi,3658.5,3640.98,7D,ARIMA Baseline,-17.52
2026-05-25,Andhra Pradesh|East Godavari|East Godavari Mandi,3662.0,3397.49,7D,LightGBM,-264.51
2026-05-25,Andhra Pradesh|East Godavari|East Godavari Mandi,3662.0,3640.98,7D,ARIMA Baseline,-21.02
2026-06-01,Andhra Pradesh|East Godavari|East Godavari Mandi,3665.5,3397.49,7D,LightGBM,-268.01
2026-06-01,Andhra Pradesh|East Godavari|East Godavari Mandi,3665.5,3640.98,7D,ARIMA Baseline,-24.52
2026-06-08,Andhra Pradesh|East Godavari|East Godavari Mandi,3669.0,3397.42,7D,LightGBM,-271.58
2026-06-08,Andhra Pradesh|East Godavari|East Godavari Mandi,3669.0,3640.98,7D,ARIMA Baseline,-28.02
2026-06-15,Andhra Pradesh|East Godavari|East Godavari Mandi,,3397.47,7D,LightGBM,
2026-06-15,Andhra Pradesh|East Godavari|East Godavari Mandi,,3640.98,7D,ARIMA Baseline,
2026-06-22,Andhra Pradesh|East Godavari|East Godavari Mandi,,3397.5,7D,LightGBM,
2026-06-22,Andhra Pradesh|East Godavari|East Godavari Mandi,,3640.98,7D,ARIMA Baseline,
2026-06-29,Andhra Pradesh|East Godavari|East Godavari Mandi,,3397.46,7D,LightGBM,
2026-06-29,Andhra Pradesh|East Godavari|East Godavari Mandi,,3640.98,7D,ARIMA Baseline,
2026-07-06,Andhra Pradesh|East Godavari|East Godavari Mandi,,3397.47,7D,LightGBM,
2026-07-06,Andhra Pradesh|East Godavari|East Godavari Mandi,,3640.98,7D,ARIMA Baseline,
2026-07-13,Andhra Pradesh|East Godavari|East Godavari Mandi,,3397.47,7D,LightGBM,
2026-07-13,Andhra Pradesh|East Godavari|East Godavari Mandi,,3640.98,7D,ARIMA Baseline,
2026-07-20,Andhra Pradesh|East Godavari|East Godavari Mandi,,3397.49,7D,LightGBM,
2026-07-20,Andhra Pradesh|East Godavari|East Godavari Mandi,,3640.98,7D,ARIMA Baseline,
2026-07-27,Andhra Pradesh|East Godavari|East Godavari Mandi,,3397.09,7D,LightGBM,
2026-07-27,Andhra Pradesh|East Godavari|East Godavari Mandi,,3640.98,7D,ARIMA Baseline,
2026-01-05,Andhra Pradesh|West Godavari|West Godavari Mandi,3592.0,3396.88,7D,LightGBM,-195.12
2026-01-05,Andhra Pradesh|West Godavari|West Godavari Mandi,3592.0,3640.98,7D,ARIMA Baseline,48.98
2026-01-12,Andhra Pradesh|West Godavari|West Godavari Mandi,3595.5,3396.67,7D,LightGBM,-198.83
2026-01-12,Andhra Pradesh|West Godavari|West Godavari Mandi,3595.5,3640.98,7D,ARIMA Baseline,45.48
2026-01-19,Andhra Pradesh|West Godavari|West Godavari Mandi,3599.0,3396.98,7D,LightGBM,-202.02
2026-01-19,Andhra Pradesh|West Godavari|West Godavari Mandi,3599.0,3640.98,7D,ARIMA Baseline,41.98
2026-01-26,Andhra Pradesh|West Godavari|West Godavari Mandi,3602.5,3396.83,7D,LightGBM,-205.67
2026-01-26,Andhra Pradesh|West Godavari|West Godavari Mandi,3602.5,3640.98,7D,ARIMA Baseline,38.48
2026-02-02,Andhra Pradesh|West Godavari|West Godavari Mandi,3606.0,3398.1,7D,LightGBM,-207.9
2026-02-02,Andhra Pradesh|West Godavari|West Godavari Mandi,3606.0,3640.98,7D,ARIMA Baseline,34.98
2026-02-09,Andhra Pradesh|West Godavari|West Godavari Mandi,3609.5,3396.59,7D,LightGBM,-212.91
2026-02-09,Andhra Pradesh|West Godavari|West Godavari Mandi,3609.5,3640.98,7D,ARIMA Baseline,31.48
2026-02-16,Andhra Pradesh|West Godavari|West Godavari Mandi,3613.0,3397.09,7D,LightGBM,-215.91
2026-02-16,Andhra Pradesh|West Godavari|West Godavari Mandi,3613.0,3640.98,7D,ARIMA Baseline,27.98
2026-02-23,Andhra Pradesh|West Godavari|West Godavari Mandi,3616.5,3396.96,7D,LightGBM,-219.54
2026-02-23,Andhra Pradesh|West Godavari|West Godavari Mandi,3616.5,3640.98,7D,ARIMA Baseline,24.48
2026-03-02,Andhra Pradesh|West Godavari|West Godavari Mandi,3620.0,3397.01,7D,LightGBM,-222.99
2026-03-02,Andhra Pradesh|West Godavari|West Godavari Mandi,3620.0,3640.98,7D,ARIMA Baseline,20.98
2026-03-09,Andhra Pradesh|West Godavari|West Godavari Mandi,3623.5,3397.24,7D,LightGBM,-226.26
2026-03-09,Andhra Pradesh|West Godavari|West Godavari Mandi,3623.5,3640.98,7D,ARIMA Baseline,17.48
2026-03-16,Andhra Pradesh|West Godavari|West Godavari Mandi,3627.0,3397.03,7D,LightGBM,-229.97
2026-03-16,Andhra Pradesh|West Godavari|West Godavari Mandi,3627.0,3640.98,7D,ARIMA Baseline,13.98
2026-03-23,Andhra Pradesh|West Godavari|West Godavari Mandi,3630.5,3397.06,7D,LightGBM,-233.44
2026-03-23,Andhra Pradesh|West Godavari|West Godavari Mandi,3630.5,3640.98,7D,ARIMA Baseline,10.48
2026-03-30,Andhra Pradesh|West Godavari|West Godavari Mandi,3634.0,3396.93,7D,LightGBM,-237.07
2026-03-30,Andhra Pradesh|West Godavari|West Godavari Mandi,3634.0,3640.98,7D,ARIMA Baseline,6.98
2026-04-06,Andhra Pradesh|West Godavari|West Godavari Mandi,3637.5,3397.14,7D,LightGBM,-240.36
2026-04-06,Andhra Pradesh|West Godavari|West Godavari Mandi,3637.5,3640.98,7D,ARIMA Baseline,3.48
2026-04-13,Andhra Pradesh|West Godavari|West Godavari Mandi,3641.0,3397.01,7D,LightGBM,-243.99
2026-04-13,Andhra Pradesh|West Godavari|West Godavari Mandi,3641.0,3640.98,7D,ARIMA Baseline,-0.02
2026-04-20,Andhra Pradesh|West Godavari|West Godavari Mandi,3644.5,3397.51,7D,LightGBM,-246.99
2026-04-20,Andhra Pradesh|West Godavari|West Godavari Mandi,3644.5,3640.98,7D,ARIMA Baseline,-3.52
2026-04-27,Andhra Pradesh|West Godavari|West Godavari Mandi,3648.0,3397.15,7D,LightGBM,-250.85
2026-04-27,Andhra Pradesh|West Godavari|West Godavari Mandi,3648.0,3640.98,7D,ARIMA Baseline,-7.02
2026-05-04,Andhra Pradesh|West Godavari|West Godavari Mandi,3651.5,3397.47,7D,LightGBM,-254.03
2026-05-04,Andhra Pradesh|West Godavari|West Godavari Mandi,3651.5,3640.98,7D,ARIMA Baseline,-10.52
2026-05-11,Andhra Pradesh|West Godavari|West Godavari Mandi,3655.0,3397.23,7D,LightGBM,-257.77
2026-05-11,Andhra Pradesh|West Godavari|West Godavari Mandi,3655.0,3640.98,7D,ARIMA Baseline,-14.02
2026-05-18,Andhra Pradesh|West Godavari|West Godavari Mandi,3658.5,3397.61,7D,LightGBM,-260.89
2026-05-18,Andhra Pradesh|West Godavari|West Godavari Mandi,3658.5,3640.98,7D,ARIMA Baseline,-17.52
2026-05-25,Andhra Pradesh|West Godavari|West Godavari Mandi,3662.0,3397.49,7D,LightGBM,-264.51
2026-05-25,Andhra Pradesh|West Godavari|West Godavari Mandi,3662.0,3640.98,7D,ARIMA Baseline,-21.02
2026-06-01,Andhra Pradesh|West Godavari|West Godavari Mandi,3665.5,3397.49,7D,LightGBM,-268.01
2026-06-01,Andhra Pradesh|West Godavari|West Godavari Mandi,3665.5,3640.98,7D,ARIMA Baseline,-24.52
2026-06-08,Andhra Pradesh|West Godavari|West Godavari Mandi,3669.0,3397.42,7D,LightGBM,-271.58
2026-06-08,Andhra Pradesh|West Godavari|West Godavari Mandi,3669.0,3640.98,7D,ARIMA Baseline,-28.02
2026-06-15,Andhra Pradesh|West Godavari|West Godavari Mandi,,3397.47,7D,LightGBM,
2026-06-15,Andhra Pradesh|West Godavari|West Godavari Mandi,,3640.98,7D,ARIMA Baseline,
2026-06-22,Andhra Pradesh|West Godavari|West Godavari Mandi,,3397.5,7D,LightGBM,
2026-06-22,Andhra Pradesh|West Godavari|West Godavari Mandi,,3640.98,7D,ARIMA Baseline,
2026-06-29,Andhra Pradesh|West Godavari|West Godavari Mandi,,3397.46,7D,LightGBM,
2026-06-29,Andhra Pradesh|West Godavari|West Godavari Mandi,,3640.98,7D,ARIMA Baseline,
2026-07-06,Andhra Pradesh|West Godavari|West Godavari Mandi,,3397.47,7D,LightGBM,
2026-07-06,Andhra Pradesh|West Godavari|West Godavari Mandi,,3640.98,7D,ARIMA Baseline,
2026-07-13,Andhra Pradesh|West Godavari|West Godavari Mandi,,3397.47,7D,LightGBM,
2026-07-13,Andhra Pradesh|West Godavari|West Godavari Mandi,,3640.98,7D,ARIMA Baseline,
2026-07-20,Andhra Pradesh|West Godavari|West Godavari Mandi,,3397.49,7D,LightGBM,
2026-07-20,Andhra Pradesh|West Godavari|West Godavari Mandi,,3640.98,7D,ARIMA Baseline,
2026-07-27,Andhra Pradesh|West Godavari|West Godavari Mandi,,3397.09,7D,LightGBM,
2026-07-27,Andhra Pradesh|West Godavari|West Godavari Mandi,,3640.98,7D,ARIMA Baseline,
2026-01-05,Assam|Central|Central Mandi,3592.0,3396.88,7D,LightGBM,-195.12
2026-01-05,Assam|Central|Central Mandi,3592.0,3640.98,7D,ARIMA Baseline,48.98
2026-01-12,Assam|Central|Central Mandi,3595.5,3396.67,7D,LightGBM,-198.83
2026-01-12,Assam|Central|Central Mandi,3595.5,3640.98,7D,ARIMA Baseline,45.48
2026-01-19,Assam|Central|Central Mandi,3599.0,3396.98,7D,LightGBM,-202.02
2026-01-19,Assam|Central|Central Mandi,3599.0,3640.98,7D,ARIMA Baseline,41.98
2026-01-26,Assam|Central|Central Mandi,3602.5,3396.83,7D,LightGBM,-205.67
2026-01-26,Assam|Central|Central Mandi,3602.5,3640.98,7D,ARIMA Baseline,38.48
2026-02-02,Assam|Central|Central Mandi,3606.0,3398.1,7D,LightGBM,-207.9
2026-02-02,Assam|Central|Central Mandi,3606.0,3640.98,7D,ARIMA Baseline,34.98
2026-02-09,Assam|Central|Central Mandi,3609.5,3396.59,7D,LightGBM,-212.91
2026-02-09,Assam|Central|Central Mandi,3609.5,3640.98,7D,ARIMA Baseline,31.48
2026-02-16,Assam|Central|Central Mandi,3613.0,3397.09,7D,LightGBM,-215.91
2026-02-16,Assam|Central|Central Mandi,3613.0,3640.98,7D,ARIMA Baseline,27.98
2026-02-23,Assam|Central|Central Mandi,3616.5,3396.96,7D,LightGBM,-219.54
2026-02-23,Assam|Central|Central Mandi,3616.5,3640.98,7D,ARIMA Baseline,24.48
2026-03-02,Assam|Central|Central Mandi,3620.0,3397.01,7D,LightGBM,-222.99
2026-03-02,Assam|Central|Central Mandi,3620.0,3640.98,7D,ARIMA Baseline,20.98
2026-03-09,Assam|Central|Central Mandi,3623.5,3397.24,7D,LightGBM,-226.26
2026-03-09,Assam|Central|Central Mandi,3623.5,3640.98,7D,ARIMA Baseline,17.48
2026-03-16,Assam|Central|Central Mandi,3627.0,3397.03,7D,LightGBM,-229.97
2026-03-16,Assam|Central|Central Mandi,3627.0,3640.98,7D,ARIMA Baseline,13.98
2026-03-23,Assam|Central|Central Mandi,3630.5,3397.06,7D,LightGBM,-233.44
2026-03-23,Assam|Central|Central Mandi,3630.5,3640.98,7D,ARIMA Baseline,10.48
2026-03-30,Assam|Central|Central Mandi,3634.0,3396.93,7D,LightGBM,-237.07
2026-03-30,Assam|Central|Central Mandi,3634.0,3640.98,7D,ARIMA Baseline,6.98
2026-04-06,Assam|Central|Central Mandi,3637.5,3397.14,7D,LightGBM,-240.36
2026-04-06,Assam|Central|Central Mandi,3637.5,3640.98,7D,ARIMA Baseline,3.48
2026-04-13,Assam|Central|Central Mandi,3641.0,3397.01,7D,LightGBM,-243.99
2026-04-13,Assam|Central|Central Mandi,3641.0,3640.98,7D,ARIMA Baseline,-0.02
2026-04-20,Assam|Central|Central Mandi,3644.5,3397.51,7D,LightGBM,-246.99
2026-04-20,Assam|Central|Central Mandi,3644.5,3640.98,7D,ARIMA Baseline,-3.52
2026-04-27,Assam|Central|Central Mandi,3648.0,3397.15,7D,LightGBM,-250.85
2026-04-27,Assam|Central|Central Mandi,3648.0,3640.98,7D,ARIMA Baseline,-7.02
2026-05-04,Assam|Central|Central Mandi,3651.5,3397.47,7D,LightGBM,-254.03
2026-05-04,Assam|Central|Central Mandi,3651.5,3640.98,7D,ARIMA Baseline,-10.52
2026-05-11,Assam|Central|Central Mandi,3655.0,3397.23,7D,LightGBM,-257.77
2026-05-11,Assam|Central|Central Mandi,3655.0,3640.98,7D,ARIMA Baseline,-14.02
2026-05-18,Assam|Central|Central Mandi,3658.5,3397.61,7D,LightGBM,-260.89
2026-05-18,Assam|Central|Central Mandi,3658.5,3640.98,7D,ARIMA Baseline,-17.52
2026-05-25,Assam|Central|Central Mandi,3662.0,3397.49,7D,LightGBM,-264.51
2026-05-25,Assam|Central|Central Mandi,3662.0,3640.98,7D,ARIMA Baseline,-21.02
2026-06-01,Assam|Central|Central Mandi,3665.5,3397.49,7D,LightGBM,-268.01
2026-06-01,Assam|Central|Central Mandi,3665.5,3640.98,7D,ARIMA Baseline,-24.52
2026-06-08,Assam|Central|Central Mandi,3669.0,3397.42,7D,LightGBM,-271.58
2026-06-08,Assam|Central|Central Mandi,3669.0,3640.98,7D,ARIMA Baseline,-28.02
2026-06-15,Assam|Central|Central Mandi,,3397.47,7D,LightGBM,
2026-06-15,Assam|Central|Central Mandi,,3640.98,7D,ARIMA Baseline,
2026-06-22,Assam|Central|Central Mandi,,3397.5,7D,LightGBM,
2026-06-22,Assam|Central|Central Mandi,,3640.98,7D,ARIMA Baseline,
2026-06-29,Assam|Central|Central Mandi,,3397.46,7D,LightGBM,
2026-06-29,Assam|Central|Central Mandi,,3640.98,7D,ARIMA Baseline,
2026-07-06,Assam|Central|Central Mandi,,3397.47,7D,LightGBM,
2026-07-06,Assam|Central|Central Mandi,,3640.98,7D,ARIMA Baseline,
2026-07-13,Assam|Central|Central Mandi,,3397.47,7D,LightGBM,
2026-07-13,Assam|Central|Central Mandi,,3640.98,7D,ARIMA Baseline,
2026-07-20,Assam|Central|Central Mandi,,3397.49,7D,LightGBM,
2026-07-20,Assam|Central|Central Mandi,,3640.98,7D,ARIMA Baseline,
2026-07-27,Assam|Central|Central Mandi,,3397.09,7D,LightGBM,
2026-07-27,Assam|Central|Central Mandi,,3640.98,7D,ARIMA Baseline,
2026-01-05,Bihar|Central|Central Mandi,3592.0,3396.88,7D,LightGBM,-195.12
2026-01-05,Bihar|Central|Central Mandi,3592.0,3640.98,7D,ARIMA Baseline,48.98
2026-01-12,Bihar|Central|Central Mandi,3595.5,3396.67,7D,LightGBM,-198.83
2026-01-12,Bihar|Central|Central Mandi,3595.5,3640.98,7D,ARIMA Baseline,45.48
2026-01-19,Bihar|Central|Central Mandi,3599.0,3396.98,7D,LightGBM,-202.02
2026-01-19,Bihar|Central|Central Mandi,3599.0,3640.98,7D,ARIMA Baseline,41.98
2026-01-26,Bihar|Central|Central Mandi,3602.5,3396.83,7D,LightGBM,-205.67
2026-01-26,Bihar|Central|Central Mandi,3602.5,3640.98,7D,ARIMA Baseline,38.48
2026-02-02,Bihar|Central|Central Mandi,3606.0,3398.1,7D,LightGBM,-207.9
2026-02-02,Bihar|Central|Central Mandi,3606.0,3640.98,7D,ARIMA Baseline,34.98
2026-02-09,Bihar|Central|Central Mandi,3609.5,3396.59,7D,LightGBM,-212.91
2026-02-09,Bihar|Central|Central Mandi,3609.5,3640.98,7D,ARIMA Baseline,31.48
2026-02-16,Bihar|Central|Central Mandi,3613.0,3397.09,7D,LightGBM,-215.91
2026-02-16,Bihar|Central|Central Mandi,3613.0,3640.98,7D,ARIMA Baseline,27.98
2026-02-23,Bihar|Central|Central Mandi,3616.5,3396.96,7D,LightGBM,-219.54
2026-02-23,Bihar|Central|Central Mandi,3616.5,3640.98,7D,ARIMA Baseline,24.48
2026-03-02,Bihar|Central|Central Mandi,3620.0,3397.01,7D,LightGBM,-222.99
2026-03-02,Bihar|Central|Central Mandi,3620.0,3640.98,7D,ARIMA Baseline,20.98
2026-03-09,Bihar|Central|Central Mandi,3623.5,3397.24,7D,LightGBM,-226.26
2026-03-09,Bihar|Central|Central Mandi,3623.5,3640.98,7D,ARIMA Baseline,17.48
2026-03-16,Bihar|Central|Central Mandi,3627.0,3397.03,7D,LightGBM,-229.97
2026-03-16,Bihar|Central|Central Mandi,3627.0,3640.98,7D,ARIMA Baseline,13.98
2026-03-23,Bihar|Central|Central Mandi,3630.5,3397.06,7D,LightGBM,-233.44
2026-03-23,Bihar|Central|Central Mandi,3630.5,3640.98,7D,ARIMA Baseline,10.48
