state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price,arrivals,arrival_unit,data_source_status
Andhra Pradesh,Prakasam,Maddipadu APMC,Paddy(Common),B P T,18/08/2026,2500.0,2500.0,2500.0,150.0,Tonnes,LIVE
Rajasthan,Bundi,Bundi APMC,Paddy(Common),Other,18/08/2026,3700.0,4500.0,4100.0,150.0,Tonnes,LIVE
Andhra Pradesh,NTR,Nandigama APMC,Paddy(Common),B P T,18/08/2026,2320.0,2320.0,2320.0,150.0,Tonnes,LIVE
Andhra Pradesh,Nandyal,Nandyal APMC,Paddy(Common),Paddy,18/08/2026,2450.0,2450.0,2450.0,150.0,Tonnes,LIVE
Andhra Pradesh,East Godavari,Anaparthy APMC,Paddy(Common),Paddy,18/08/2026,2369.0,2540.0,2369.0,150.0,Tonnes,LIVE
Tamil Nadu,Sivaganga,Manamadurai  APMC,Paddy(Common),Other,18/08/2026,2300.0,2500.0,2400.0,150.0,Tonnes,LIVE
Tamil Nadu,Vellore,Ammoor APMC,Paddy(Common),Other,18/08/2026,1693.0,3756.0,2724.5,150.0,Tonnes,LIVE
Gujarat,Gandhinagar,Dehgam APMC,Paddy(Common),Other,18/08/2026,2200.0,2700.0,2450.0,150.0,Tonnes,LIVE
Maharashtra,Raigad,Karjat(Raigad) APMC,Paddy(Common),Other,18/08/2026,2369.0,2450.0,2400.0,150.0,Tonnes,LIVE
Pondicherry,Pondicherry,Thattanchavady APMC,Paddy(Common),Other,18/08/2026,1906.66619,1906.66619,1906.66619,150.0,Tonnes,LIVE
Uttar Pradesh,Aligarh,Khair APMC,Paddy(Common),Other,18/08/2026,3400.0,3500.0,3449.55,150.0,Tonnes,LIVE
Madhya Pradesh,Mandla,Nainpur APMC,Paddy(Common),Paddy,18/08/2026,2125.0,2200.0,2150.0,150.0,Tonnes,LIVE
Karnataka,Shivamogga,Bhadravathi APMC,Paddy(Common),Paddy Medium,18/08/2026,2800.0,2800.0,2800.0,150.0,Tonnes,LIVE
Karnataka,Uttara Kannada,Haliyala APMC,Paddy(Common),Paddy Medium,18/08/2026,2200.0,2650.0,2650.0,150.0,Tonnes,LIVE
Telangana,Mahabubabad,Kesamudram APMC,Paddy(Common),Samba Masuri,18/08/2026,2525.0,4426.0,4236.0,150.0,Tonnes,LIVE
Andhra Pradesh,Prakasam,Kandukur APMC,Paddy(Common),Other,18/08/2026,2380.0,2450.0,2400.0,150.0,Tonnes,LIVE
Andhra Pradesh,SPSR Nellore,Kavali APMC,Paddy(Common),Other,18/08/2026,2380.0,2450.0,2410.0,150.0,Tonnes,LIVE
Andhra Pradesh,Tirupathi,Sullurpet APMC,Paddy(Common),MTU-1010,18/08/2026,2400.0,2440.0,2420.0,150.0,Tonnes,LIVE
Andhra Pradesh,Palnadu,Pidugurala APMC,Paddy(Common),Paddy,18/08/2026,2380.0,2380.0,2380.0,150.0,Tonnes,LIVE
Uttar Pradesh,Bareilly,Bareilly APMC,Paddy(Common),Basmati,18/08/2026,2755.0,2850.0,2803.29,150.0,Tonnes,LIVE
Uttar Pradesh,Basti,Basti APMC,Paddy(Common),Common,18/08/2026,2500.0,2500.0,2500.0,150.0,Tonnes,LIVE
Uttar Pradesh,Bulandshahar,Buland Shahr APMC,Paddy(Common),Basmati,18/08/2026,3300.0,4031.0,3775.75,150.0,Tonnes,LIVE
Uttar Pradesh,Bulandshahar,Buland Shahr APMC,Paddy(Common),Other,18/08/2026,3519.0,4101.0,3857.76,150.0,Tonnes,LIVE
Maharashtra,Chandrapur,Gondpimpri APMC,Paddy(Common),Other,18/08/2026,3680.0,3890.0,3825.0,150.0,Tonnes,LIVE
Andhra Pradesh,Srikakulam,Palasa APMC,Paddy(Common),Common,18/08/2026,2369.0,2369.0,2369.0,150.0,Tonnes,LIVE
Tamil Nadu,Kallakuruchi,Thirunavalur APMC,Paddy(Common),Other,18/08/2026,1940.0,2004.0,1972.0,150.0,Tonnes,LIVE
Telangana,Bhupalapally,Bhupalapally APMC,Paddy(Common),1001,18/08/2026,2400.0,2400.0,2400.0,150.0,Tonnes,LIVE
Uttar Pradesh,Ghaziabad,Hapur APMC,Paddy(Common),Basmati,18/08/2026,2800.0,3930.0,3529.2,150.0,Tonnes,LIVE
Uttar Pradesh,Mathura,Kosikalan APMC,Paddy(Basmati),Basmati 1509,18/08/2026,3100.0,3190.0,3160.0,150.0,Tonnes,LIVE
Andhra Pradesh,Eluru,Kaikaluru APMC,Paddy(Common),MTU-1001,18/08/2026,2440.0,2440.0,2440.0,150.0,Tonnes,LIVE
Andhra Pradesh,Palnadu,Ipur APMC,Paddy(Common),Paddy,18/08/2026,2450.0,2550.0,2500.0,150.0,Tonnes,LIVE
Andhra Pradesh,Parvathipuram Manyam,Palakonda APMC,Paddy(Common),1001,18/08/2026,2350.0,2350.0,2350.0,150.0,Tonnes,LIVE
Andhra Pradesh,Srikakulam,Srikakulam APMC,Paddy(Common),1001,18/08/2026,2400.0,2400.0,2400.0,150.0,Tonnes,LIVE
Andhra Pradesh,Eluru,Ungatur APMC,Paddy(Common),1001,18/08/2026,2445.0,2445.0,2445.0,150.0,Tonnes,LIVE
Andhra Pradesh,Polavaram,Rampachodvaram APMC,Paddy(Common),1001,18/08/2026,2369.0,2389.0,2379.0,150.0,Tonnes,LIVE
Telangana,Karimnagar,V.Saidapur APMC,Paddy(Common),MTU-1010,18/08/2026,2389.0,2389.0,2389.0,150.0,Tonnes,LIVE
Uttar Pradesh,Unnao,Unnao APMC,Paddy(Common),Other,18/08/2026,2600.0,2600.0,2600.0,150.0,Tonnes,LIVE
Uttar Pradesh,Kanpur,Uttaripura APMC,Paddy(Common),Common,18/08/2026,2050.0,2050.0,2050.0,150.0,Tonnes,LIVE
Madhya Pradesh,Hoshangabad,Pipariya APMC,Paddy(Common),Puspa (MR 301),18/08/2026,4480.0,4480.0,4480.0,150.0,Tonnes,LIVE
Andhra Pradesh,Prakasam,Darsi APMC,Paddy(Common),B P T,18/08/2026,2350.0,2400.0,2400.0,150.0,Tonnes,LIVE
Tamil Nadu,Cuddalore,Virudhachalam APMC,Paddy(Common),B P T,18/08/2026,2093.0,2351.0,2222.0,150.0,Tonnes,LIVE
West Bengal,Hooghly,Kalipur APMC,Paddy(Common),Common,18/08/2026,2350.0,2369.0,2369.0,150.0,Tonnes,LIVE
Andhra Pradesh,West Godavari,Achanta APMC,Paddy(Common),1121,18/08/2026,2359.0,2375.0,2369.0,150.0,Tonnes,LIVE
Andhra Pradesh,Anakapally,Chodavaram APMC,Paddy(Common),Paddy,18/08/2026,2200.0,2400.0,2300.0,150.0,Tonnes,LIVE
Telangana,Medak,Narsapur APMC,Paddy(Common),MTU-1010,18/08/2026,2389.0,2389.0,2389.0,150.0,Tonnes,LIVE
