forecast_horizon,feature,mean_abs_shap,rank
7D,min_price,64.35135110975521,1
7D,month,15.863795530680436,2
7D,price_rolling_mean_7,6.584999882740866,3
7D,price_lag_14,1.7410916200756754,4
7D,price_rolling_std_7,1.3617263174398857,5
7D,price_lag_7,0.7648077250397083,6
7D,price_lag_30,0.6530599315322141,7
7D,price_lag_1,0.5697712990895935,8
7D,arrival_rolling_mean_7,0.42992426604995976,9
7D,arrival_mt,0.30986673443035,10
7D,price_rolling_std_30,0.23944309362757785,11
7D,arrival_lag_1,0.17929376328812827,12
7D,arrival_lag_7,0.07185221845172103,13
7D,arrival_change_7d,0.0715277416406027,14
7D,price_rolling_mean_14,0.055693691138605,15
7D,arrival_change_30d,0.039304173716618776,16
7D,price_rolling_cv_7,0.008657068810659281,17
7D,stock_vs_buffer_percent,0.004943415902320488,18
7D,price_rolling_mean_30,0.0030122319573597494,19
7D,price_rolling_cv_30,0.002863319992940731,20
7D,government_stock,0.001300754345973939,21
7D,temperature_max_c,0.0,22
7D,evapotranspiration,0.0,23
7D,max_price,0.0,24
7D,price_rs_per_qtl,0.0,25
7D,latitude,0.0,26
7D,temperature_min_c,0.0,27
7D,temperature_mean_c,0.0,28
7D,rainfall_deviation_percent,0.0,29
7D,longitude,0.0,30
7D,rainfall_mm,0.0,31
7D,soil_moisture,0.0,32
7D,rainfall_7d,0.0,33
7D,rainfall_30d,0.0,34
7D,rainfall_90d,0.0,35
7D,soil_moisture_30d,0.0,36
7D,temperature_mean_7d,0.0,37
7D,temperature_mean_30d,0.0,38
7D,soil_moisture_7d,0.0,39
7D,rainfall_deviation,0.0,40
7D,evapotranspiration_30d,0.0,41
7D,evapotranspiration_7d,0.0,42
7D,year,0.0,43
7D,procurement_quantity,0.0,44
7D,msp,0.0,45
7D,quarter,0.0,46
7D,harvest_period,0.0,47
