date,state,district,market,forecast_horizon,feature,feature_value,shap_value_rs,contribution_direction,interpretation
2024-01-01,Andhra Pradesh,East Godavari,East Godavari Mandi,7D,min_price,3200.0,-57.85,DOWNWARD PRESSURE (DECREASE),min_price (3200.0) contributed -57.85 ₹/Qtl toward model prediction
2024-01-01,Andhra Pradesh,East Godavari,East Godavari Mandi,7D,month,1.0,-12.7,DOWNWARD PRESSURE (DECREASE),month (1) contributed -12.70 ₹/Qtl toward model prediction
2024-01-01,Andhra Pradesh,East Godavari,East Godavari Mandi,7D,price_rolling_mean_7,nan,7.15,UPWARD PRESSURE (INCREASE),price_rolling_mean_7 (nan) contributed +7.15 ₹/Qtl toward model prediction
2024-01-01,Andhra Pradesh,East Godavari,East Godavari Mandi,7D,price_rolling_std_7,nan,-1.01,DOWNWARD PRESSURE (DECREASE),price_rolling_std_7 (nan) contributed -1.01 ₹/Qtl toward model prediction
2024-01-01,Andhra Pradesh,East Godavari,East Godavari Mandi,7D,price_lag_7,nan,-0.99,DOWNWARD PRESSURE (DECREASE),price_lag_7 (nan) contributed -0.99 ₹/Qtl toward model prediction
2024-01-01,Andhra Pradesh,West Godavari,West Godavari Mandi,7D,min_price,3200.0,-57.85,DOWNWARD PRESSURE (DECREASE),min_price (3200.0) contributed -57.85 ₹/Qtl toward model prediction
2024-01-01,Andhra Pradesh,West Godavari,West Godavari Mandi,7D,month,1.0,-12.7,DOWNWARD PRESSURE (DECREASE),month (1) contributed -12.70 ₹/Qtl toward model prediction
2024-01-01,Andhra Pradesh,West Godavari,West Godavari Mandi,7D,price_rolling_mean_7,nan,7.15,UPWARD PRESSURE (INCREASE),price_rolling_mean_7 (nan) contributed +7.15 ₹/Qtl toward model prediction
2024-01-01,Andhra Pradesh,West Godavari,West Godavari Mandi,7D,price_rolling_std_7,nan,-1.01,DOWNWARD PRESSURE (DECREASE),price_rolling_std_7 (nan) contributed -1.01 ₹/Qtl toward model prediction
2024-01-01,Andhra Pradesh,West Godavari,West Godavari Mandi,7D,price_lag_7,nan,-0.99,DOWNWARD PRESSURE (DECREASE),price_lag_7 (nan) contributed -0.99 ₹/Qtl toward model prediction
2024-01-01,Assam,Central,Central Mandi,7D,min_price,3200.0,-57.85,DOWNWARD PRESSURE (DECREASE),min_price (3200.0) contributed -57.85 ₹/Qtl toward model prediction
2024-01-01,Assam,Central,Central Mandi,7D,month,1.0,-12.7,DOWNWARD PRESSURE (DECREASE),month (1) contributed -12.70 ₹/Qtl toward model prediction
2024-01-01,Assam,Central,Central Mandi,7D,price_rolling_mean_7,nan,7.15,UPWARD PRESSURE (INCREASE),price_rolling_mean_7 (nan) contributed +7.15 ₹/Qtl toward model prediction
2024-01-01,Assam,Central,Central Mandi,7D,price_rolling_std_7,nan,-1.01,DOWNWARD PRESSURE (DECREASE),price_rolling_std_7 (nan) contributed -1.01 ₹/Qtl toward model prediction
2024-01-01,Assam,Central,Central Mandi,7D,price_lag_7,nan,-0.99,DOWNWARD PRESSURE (DECREASE),price_lag_7 (nan) contributed -0.99 ₹/Qtl toward model prediction
2024-01-01,Bihar,Central,Central Mandi,7D,min_price,3200.0,-57.85,DOWNWARD PRESSURE (DECREASE),min_price (3200.0) contributed -57.85 ₹/Qtl toward model prediction
2024-01-01,Bihar,Central,Central Mandi,7D,month,1.0,-12.7,DOWNWARD PRESSURE (DECREASE),month (1) contributed -12.70 ₹/Qtl toward model prediction
2024-01-01,Bihar,Central,Central Mandi,7D,price_rolling_mean_7,nan,7.15,UPWARD PRESSURE (INCREASE),price_rolling_mean_7 (nan) contributed +7.15 ₹/Qtl toward model prediction
2024-01-01,Bihar,Central,Central Mandi,7D,price_rolling_std_7,nan,-1.01,DOWNWARD PRESSURE (DECREASE),price_rolling_std_7 (nan) contributed -1.01 ₹/Qtl toward model prediction
2024-01-01,Bihar,Central,Central Mandi,7D,price_lag_7,nan,-0.99,DOWNWARD PRESSURE (DECREASE),price_lag_7 (nan) contributed -0.99 ₹/Qtl toward model prediction
2024-01-01,Chhattisgarh,Durg,Durg Mandi,7D,min_price,3200.0,-57.85,DOWNWARD PRESSURE (DECREASE),min_price (3200.0) contributed -57.85 ₹/Qtl toward model prediction
2024-01-01,Chhattisgarh,Durg,Durg Mandi,7D,month,1.0,-12.7,DOWNWARD PRESSURE (DECREASE),month (1) contributed -12.70 ₹/Qtl toward model prediction
2024-01-01,Chhattisgarh,Durg,Durg Mandi,7D,price_rolling_mean_7,nan,7.15,UPWARD PRESSURE (INCREASE),price_rolling_mean_7 (nan) contributed +7.15 ₹/Qtl toward model prediction
2024-01-01,Chhattisgarh,Durg,Durg Mandi,7D,price_rolling_std_7,nan,-1.01,DOWNWARD PRESSURE (DECREASE),price_rolling_std_7 (nan) contributed -1.01 ₹/Qtl toward model prediction
2024-01-01,Chhattisgarh,Durg,Durg Mandi,7D,price_lag_7,nan,-0.99,DOWNWARD PRESSURE (DECREASE),price_lag_7 (nan) contributed -0.99 ₹/Qtl toward model prediction
2024-01-01,Chhattisgarh,Raipur,Raipur Mandi,7D,min_price,3200.0,-57.85,DOWNWARD PRESSURE (DECREASE),min_price (3200.0) contributed -57.85 ₹/Qtl toward model prediction
2024-01-01,Chhattisgarh,Raipur,Raipur Mandi,7D,month,1.0,-12.7,DOWNWARD PRESSURE (DECREASE),month (1) contributed -12.70 ₹/Qtl toward model prediction
2024-01-01,Chhattisgarh,Raipur,Raipur Mandi,7D,price_rolling_mean_7,nan,7.15,UPWARD PRESSURE (INCREASE),price_rolling_mean_7 (nan) contributed +7.15 ₹/Qtl toward model prediction
2024-01-01,Chhattisgarh,Raipur,Raipur Mandi,7D,price_rolling_std_7,nan,-1.01,DOWNWARD PRESSURE (DECREASE),price_rolling_std_7 (nan) contributed -1.01 ₹/Qtl toward model prediction
2024-01-01,Chhattisgarh,Raipur,Raipur Mandi,7D,price_lag_7,nan,-0.99,DOWNWARD PRESSURE (DECREASE),price_lag_7 (nan) contributed -0.99 ₹/Qtl toward model prediction
2024-01-01,Gujarat,Central,Central Mandi,7D,min_price,3200.0,-57.85,DOWNWARD PRESSURE (DECREASE),min_price (3200.0) contributed -57.85 ₹/Qtl toward model prediction
2024-01-01,Gujarat,Central,Central Mandi,7D,month,1.0,-12.7,DOWNWARD PRESSURE (DECREASE),month (1) contributed -12.70 ₹/Qtl toward model prediction
2024-01-01,Gujarat,Central,Central Mandi,7D,price_rolling_mean_7,nan,7.15,UPWARD PRESSURE (INCREASE),price_rolling_mean_7 (nan) contributed +7.15 ₹/Qtl toward model prediction
2024-01-01,Gujarat,Central,Central Mandi,7D,price_rolling_std_7,nan,-1.01,DOWNWARD PRESSURE (DECREASE),price_rolling_std_7 (nan) contributed -1.01 ₹/Qtl toward model prediction
2024-01-01,Gujarat,Central,Central Mandi,7D,price_lag_7,nan,-0.99,DOWNWARD PRESSURE (DECREASE),price_lag_7 (nan) contributed -0.99 ₹/Qtl toward model prediction
2024-01-01,Haryana,Central,Central Mandi,7D,min_price,3200.0,-57.85,DOWNWARD PRESSURE (DECREASE),min_price (3200.0) contributed -57.85 ₹/Qtl toward model prediction
2024-01-01,Haryana,Central,Central Mandi,7D,month,1.0,-12.7,DOWNWARD PRESSURE (DECREASE),month (1) contributed -12.70 ₹/Qtl toward model prediction
2024-01-01,Haryana,Central,Central Mandi,7D,price_rolling_mean_7,nan,7.15,UPWARD PRESSURE (INCREASE),price_rolling_mean_7 (nan) contributed +7.15 ₹/Qtl toward model prediction
2024-01-01,Haryana,Central,Central Mandi,7D,price_rolling_std_7,nan,-1.01,DOWNWARD PRESSURE (DECREASE),price_rolling_std_7 (nan) contributed -1.01 ₹/Qtl toward model prediction
2024-01-01,Haryana,Central,Central Mandi,7D,price_lag_7,nan,-0.99,DOWNWARD PRESSURE (DECREASE),price_lag_7 (nan) contributed -0.99 ₹/Qtl toward model prediction
2024-01-08,Andhra Pradesh,East Godavari,East Godavari Mandi,7D,min_price,3203.5,-64.31,DOWNWARD PRESSURE (DECREASE),min_price (3203.5) contributed -64.31 ₹/Qtl toward model prediction
2024-01-08,Andhra Pradesh,East Godavari,East Godavari Mandi,7D,month,1.0,-17.36,DOWNWARD PRESSURE (DECREASE),month (1) contributed -17.36 ₹/Qtl toward model prediction
2024-01-08,Andhra Pradesh,East Godavari,East Godavari Mandi,7D,price_rolling_mean_7,3300.0,-7.55,DOWNWARD PRESSURE (DECREASE),price_rolling_mean_7 (3300.0) contributed -7.55 ₹/Qtl toward model prediction
2024-01-08,Andhra Pradesh,East Godavari,East Godavari Mandi,7D,price_rolling_std_7,nan,-1.97,DOWNWARD PRESSURE (DECREASE),price_rolling_std_7 (nan) contributed -1.97 ₹/Qtl toward model prediction
2024-01-08,Andhra Pradesh,East Godavari,East Godavari Mandi,7D,price_lag_14,nan,1.75,UPWARD PRESSURE (INCREASE),price_lag_14 (nan) contributed +1.75 ₹/Qtl toward model prediction
2024-01-08,Andhra Pradesh,West Godavari,West Godavari Mandi,7D,min_price,3203.5,-64.31,DOWNWARD PRESSURE (DECREASE),min_price (3203.5) contributed -64.31 ₹/Qtl toward model prediction
2024-01-08,Andhra Pradesh,West Godavari,West Godavari Mandi,7D,month,1.0,-17.36,DOWNWARD PRESSURE (DECREASE),month (1) contributed -17.36 ₹/Qtl toward model prediction
2024-01-08,Andhra Pradesh,West Godavari,West Godavari Mandi,7D,price_rolling_mean_7,3300.0,-7.55,DOWNWARD PRESSURE (DECREASE),price_rolling_mean_7 (3300.0) contributed -7.55 ₹/Qtl toward model prediction
2024-01-08,Andhra Pradesh,West Godavari,West Godavari Mandi,7D,price_rolling_std_7,nan,-1.97,DOWNWARD PRESSURE (DECREASE),price_rolling_std_7 (nan) contributed -1.97 ₹/Qtl toward model prediction
2024-01-08,Andhra Pradesh,West Godavari,West Godavari Mandi,7D,price_lag_14,nan,1.75,UPWARD PRESSURE (INCREASE),price_lag_14 (nan) contributed +1.75 ₹/Qtl toward model prediction
2024-01-08,Assam,Central,Central Mandi,7D,min_price,3203.5,-64.31,DOWNWARD PRESSURE (DECREASE),min_price (3203.5) contributed -64.31 ₹/Qtl toward model prediction
